"CONFRONTO_CASA","CONFRONTO_FORA","DIF_GOLS_FT","Result"
São Paulo,Vasco da Gama,1,CASA
Cruzeiro,CSA,1,FORA
Ceará,Athletico PR,0,EMPATE
Botafogo,Internacional,1,FORA
Palmeiras,Flamengo,2,FORA
Avaí,Fluminense,0,EMPATE
Goiás,Fortaleza,1,FORA
Atlético Mineiro,Corinthians,1,CASA
CSA,Bahia,1,FORA
Grêmio,São Paulo,3,CASA
Santos,Chapecoense,2,CASA
Vasco da Gama,Cruzeiro,1,CASA
Athletico PR,Santos,1,CASA
Atlético Mineiro,Botafogo,2,CASA
Ceará,Corinthians,1,FORA
Chapecoense,CSA,3,CASA
São Paulo,Internacional,1,CASA
Fluminense,Fortaleza,0,EMPATE
Grêmio,Cruzeiro,2,CASA
Palmeiras,Goiás,4,CASA
Bahia,Vasco da Gama,0,EMPATE
Flamengo,Avaí,5,CASA
Internacional,Atlético Mineiro,1,CASA
Cruzeiro,Palmeiras,2,FORA
Fortaleza,Bahia,1,CASA
Corinthians,Fluminense,1,FORA
Santos,Flamengo,4,CASA
Vasco da Gama,Chapecoense,0,EMPATE
Botafogo,Ceará,0,EMPATE
Avaí,Athletico PR,0,EMPATE
Goiás,Grêmio,1,CASA
CSA,São Paulo,1,FORA
Fortaleza,Athletico PR,2,FORA
Coritiba,Internacional,1,FORA
Sport Recife,Ceará,1,CASA
Flamengo,Atlético Mineiro,1,FORA
Santos,Bragantino,0,EMPATE
Grêmio,Fluminense,1,CASA
Bragantino,Botafogo,0,EMPATE
Atlético Mineiro,Corinthians,1,CASA
Athletico PR,Goiás,1,CASA
Bahia,Coritiba,1,CASA
Atlético GO,Flamengo,3,CASA
Fluminense,Palmeiras,0,EMPATE
Ceará,Grêmio,0,EMPATE
São Paulo,Fortaleza,1,CASA
Internacional,Santos,2,CASA
Vasco da Gama,Sport Recife,2,CASA
Grêmio,Corinthians,0,EMPATE
Coritiba,Flamengo,1,FORA
Palmeiras,Goiás,0,EMPATE
Atlético Mineiro,Ceará,2,CASA
Vasco da Gama,São Paulo,1,CASA
Bahia,Bragantino,1,CASA
Fluminense,Internacional,1,CASA
Atlético GO,Sport Recife,0,EMPATE
Fortaleza,Botafogo,0,EMPATE
Santos,Athletico PR,2,CASA
Flamengo,Grêmio,0,EMPATE
Bragantino,Fluminense,1,CASA
Athletico PR,Palmeiras,1,FORA
Internacional,Atlético GO,3,CASA
Goiás,Fortaleza,2,FORA
Botafogo,Atlético Mineiro,1,CASA
Corinthians,Coritiba,2,CASA
Sport Recife,Santos,1,FORA
São Paulo,Bahia,0,EMPATE
Ceará,Vasco da Gama,3,FORA
Athletico PR,Fluminense,1,FORA
Internacional,Atlético Mineiro,1,CASA
Goiás,Atlético GO,2,CASA
Flamengo,Botafogo,0,EMPATE
Vasco da Gama,Grêmio,0,EMPATE
Palmeiras,Santos,1,CASA
Bragantino,Coritiba,1,FORA
Sport Recife,São Paulo,1,FORA
Ceará,Bahia,2,CASA
São Paulo,Athletico PR,1,CASA
Corinthians,Fortaleza,0,EMPATE
Botafogo,Internacional,2,FORA
Fluminense,Vasco da Gama,1,CASA
Bahia,Palmeiras,0,EMPATE
Fortaleza,Bragantino,3,CASA
São Paulo,Corinthians,1,CASA
Santos,Flamengo,1,FORA
Coritiba,Sport Recife,1,CASA
Atlético GO,Ceará,2,FORA
Ceará,Fortaleza,1,CASA
Fluminense,Atlético GO,0,EMPATE
Goiás,Corinthians,1,FORA
Botafogo,Coritiba,0,EMPATE
Bahia,Flamengo,2,FORA
Athletico PR,Bragantino,0,EMPATE
Palmeiras,Internacional,0,EMPATE
Santos,Vasco da Gama,0,EMPATE
Grêmio,Sport Recife,1,FORA
Atlético Mineiro,São Paulo,3,CASA
Flamengo,Fortaleza,1,CASA
Corinthians,Botafogo,0,EMPATE
Ceará,Santos,1,FORA
Bragantino,Palmeiras,1,FORA
São Paulo,Fluminense,2,CASA
Internacional,Bahia,0,EMPATE
Vasco da Gama,Athletico PR,1,CASA
Atlético GO,Grêmio,0,EMPATE
Sport Recife,Goiás,1,CASA
Coritiba,Atlético Mineiro,1,FORA
Athletico PR,Botafogo,0,EMPATE
Fortaleza,Sport Recife,1,CASA
Goiás,Coritiba,0,EMPATE
São Paulo,Bragantino,0,EMPATE
Fluminense,Flamengo,1,FORA
Santos,Atlético Mineiro,2,CASA
Corinthians,Palmeiras,2,FORA
Internacional,Ceará,2,CASA
Bahia,Grêmio,2,FORA
Vasco da Gama,Atlético GO,1,FORA
Athletico PR,Coritiba,1,CASA
Santos,São Paulo,0,EMPATE
Fluminense,Corinthians,1,CASA
Grêmio,Fortaleza,0,EMPATE
Atlético Mineiro,Bragantino,1,CASA
Bahia,Atlético GO,1,FORA
Ceará,Flamengo,2,CASA
Goiás,Internacional,1,CASA
Palmeiras,Sport Recife,0,EMPATE
Botafogo,Vasco da Gama,1,FORA
Corinthians,Bahia,1,CASA
Bragantino,Ceará,2,CASA
Fortaleza,Internacional,1,CASA
Atlético GO,Atlético Mineiro,1,FORA
Grêmio,Palmeiras,0,EMPATE
Coritiba,Vasco da Gama,1,CASA
Botafogo,Santos,0,EMPATE
Sport Recife,Fluminense,1,CASA
Sport Recife,Corinthians,1,CASA
Internacional,São Paulo,0,EMPATE
Athletico PR,Bahia,1,CASA
Atlético Mineiro,Grêmio,2,CASA
Vasco da Gama,Bragantino,0,EMPATE
Palmeiras,Flamengo,0,EMPATE
Ceará,Goiás,0,EMPATE
Atlético GO,Botafogo,0,EMPATE
Santos,Fortaleza,0,EMPATE
Fluminense,Coritiba,4,CASA
Botafogo,Bahia,1,FORA
Corinthians,Atlético GO,0,EMPATE
Grêmio,Internacional,0,EMPATE
Palmeiras,Ceará,1,CASA
Bragantino,Corinthians,0,EMPATE
Botafogo,Fluminense,0,EMPATE
Flamengo,Athletico PR,2,CASA
Coritiba,São Paulo,0,EMPATE
Bahia,Sport Recife,1,FORA
Fortaleza,Atlético GO,0,EMPATE
Goiás,Santos,1,FORA
Atlético Mineiro,Vasco da Gama,3,CASA
Corinthians,Santos,0,EMPATE
Flamengo,Sport Recife,3,CASA
Grêmio,Coritiba,1,CASA
Bahia,Vasco da Gama,3,CASA
São Paulo,Atlético GO,3,CASA
Goiás,Fluminense,2,FORA
Botafogo,Palmeiras,1,CASA
Fortaleza,Atlético Mineiro,1,CASA
Athletico PR,Ceará,0,EMPATE
Bragantino,Internacional,2,FORA
Vasco da Gama,Flamengo,1,FORA
Palmeiras,São Paulo,2,FORA
Coritiba,Fortaleza,0,EMPATE
Atlético Mineiro,Goiás,3,CASA
Fluminense,Bahia,1,CASA
Santos,Grêmio,1,CASA
Sport Recife,Botafogo,1,FORA
Atlético GO,Bragantino,1,CASA
Internacional,Athletico PR,1,CASA
Ceará,Corinthians,1,CASA
Flamengo,Goiás,1,CASA
Palmeiras,Coritiba,2,FORA
Grêmio,Botafogo,2,CASA
Santos,Atlético GO,1,FORA
Atlético Mineiro,Fluminense,0,EMPATE
Sport Recife,Internacional,2,FORA
Athletico PR,Corinthians,1,FORA
Flamengo,Bragantino,0,EMPATE
Goiás,Bahia,0,EMPATE
Fluminense,Ceará,0,EMPATE
Coritiba,Santos,1,FORA
Atlético GO,Athletico PR,0,EMPATE
São Paulo,Grêmio,0,EMPATE
Corinthians,Flamengo,4,FORA
Internacional,Vasco da Gama,2,CASA
Bragantino,Sport Recife,2,CASA
Fortaleza,Palmeiras,2,CASA
Botafogo,Goiás,0,EMPATE
Bahia,Atlético Mineiro,2,CASA
Vasco da Gama,Corinthians,1,FORA
Bragantino,Goiás,2,CASA
Ceará,Coritiba,1,CASA
Atlético Mineiro,Sport Recife,0,EMPATE
Fluminense,Santos,2,CASA
Atlético GO,Palmeiras,3,FORA
Internacional,Flamengo,0,EMPATE
Athletico PR,Grêmio,1,FORA
Botafogo,Ceará,0,EMPATE
Corinthians,Internacional,1,CASA
Coritiba,Atlético GO,1,CASA
Fortaleza,Fluminense,1,FORA
Flamengo,São Paulo,3,FORA
Sport Recife,Athletico PR,1,CASA
Santos,Bahia,2,CASA
Goiás,Vasco da Gama,0,EMPATE
Palmeiras,Atlético Mineiro,3,CASA
Grêmio,Bragantino,1,CASA
Athletico PR,Fortaleza,1,CASA
São Paulo,Goiás,1,CASA
Atlético GO,Corinthians,0,EMPATE
Vasco da Gama,Palmeiras,1,FORA
Internacional,Coritiba,0,EMPATE
Atlético Mineiro,Flamengo,4,CASA
Bahia,Botafogo,1,CASA
Bragantino,Santos,0,EMPATE
Fluminense,Grêmio,1,FORA
Ceará,Sport Recife,0,EMPATE
Bahia,Fortaleza,1,CASA
Sport Recife,Vasco da Gama,2,FORA
Santos,Internacional,2,CASA
Goiás,Athletico PR,1,FORA
Fortaleza,São Paulo,1,FORA
Corinthians,Atlético Mineiro,1,FORA
Grêmio,Ceará,2,CASA
Palmeiras,Fluminense,2,CASA
Flamengo,Atlético GO,0,EMPATE
Coritiba,Bahia,1,FORA
Botafogo,Bragantino,1,FORA
Atlético Mineiro,Athletico PR,2,FORA
Vasco da Gama,Fortaleza,0,EMPATE
Bragantino,Bahia,4,CASA
Athletico PR,Santos,1,CASA
Flamengo,Coritiba,2,CASA
Goiás,Palmeiras,1,CASA
São Paulo,Vasco da Gama,0,EMPATE
Ceará,Atlético Mineiro,0,EMPATE
Internacional,Fluminense,1,FORA
Botafogo,Fortaleza,1,FORA
Corinthians,Grêmio,0,EMPATE
Sport Recife,Atlético GO,1,FORA
Ceará,São Paulo,0,EMPATE
Atlético Mineiro,Botafogo,1,CASA
Coritiba,Corinthians,1,FORA
Fortaleza,Goiás,0,EMPATE
Santos,Sport Recife,2,CASA
Palmeiras,Athletico PR,3,CASA
Bahia,São Paulo,2,FORA
Atlético GO,Internacional,0,EMPATE
Grêmio,Goiás,1,CASA
Vasco da Gama,Ceará,3,FORA
Fluminense,Bragantino,0,EMPATE
Fortaleza,Corinthians,0,EMPATE
Goiás,São Paulo,3,FORA
Botafogo,Flamengo,1,FORA
Santos,Palmeiras,0,EMPATE
Fluminense,Athletico PR,2,CASA
Bahia,Ceará,2,FORA
Coritiba,Bragantino,0,EMPATE
Grêmio,Vasco da Gama,4,CASA
São Paulo,Sport Recife,1,CASA
Atlético Mineiro,Internacional,0,EMPATE
Atlético GO,Goiás,1,FORA
