LIGA,CONFRONTO_CASA,CONFRONTO_FORA,PLACAR_CASA,PLACAR_FORA,RESULTADO
BRASIL - SÉRIE A,VASCO DA GAMA,ATLÉTICO GOIANIENSE,1,2,FORA
BRASIL - SÉRIE A,SANTOS,ATLÉTICO MINEIRO,3,1,CASA
BRASIL - SÉRIE A,FLUMINENSE,FLAMENGO,1,2,FORA
BRASIL - SÉRIE A,CORINTHIANS,PALMEIRAS,0,2,FORA
BRASIL - SÉRIE A,INTERNACIONAL,CEARÁ,2,0,CASA
BRASIL - SÉRIE A,EC BAHIA,GRÊMIO,0,2,FORA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,BOTAFOGO,1,1,EMPATE
BRASIL - SÉRIE A,FORTALEZA EC,SPORT RECIFE,1,0,CASA
BRASIL - SÉRIE A,GOIÁS,CORITIBA,3,3,EMPATE
BRASIL - SÉRIE A,SÃO PAULO,BRAGANTINO,1,1,EMPATE
BRASIL - SÉRIE A,CEARÁ,SANTOS,0,1,FORA
BRASIL - SÉRIE A,BRAGANTINO,PALMEIRAS,1,2,FORA
BRASIL - SÉRIE A,INTERNACIONAL,EC BAHIA,2,2,EMPATE
BRASIL - SÉRIE A,SÃO PAULO,FLUMINENSE,3,1,CASA
BRASIL - SÉRIE A,VASCO DA GAMA,ATLÉTICO PARANAENSE,1,0,CASA
BRASIL - SÉRIE A,ATLÉTICO GOIANIENSE,GRÊMIO,1,1,EMPATE
BRASIL - SÉRIE A,SPORT RECIFE,GOIÁS,2,1,CASA
BRASIL - SÉRIE A,CORITIBA,ATLÉTICO MINEIRO,0,1,FORA
BRASIL - SÉRIE A,FLAMENGO,FORTALEZA EC,2,1,CASA
BRASIL - SÉRIE A,CORINTHIANS,BOTAFOGO,2,2,EMPATE
BRASIL - SÉRIE A,SANTOS,VASCO DA GAMA,2,2,EMPATE
BRASIL - SÉRIE A,PALMEIRAS,INTERNACIONAL,1,1,EMPATE
BRASIL - SÉRIE A,GRÊMIO,SPORT RECIFE,1,2,FORA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,SÃO PAULO,3,0,CASA
BRASIL - SÉRIE A,CEARÁ,FORTALEZA EC,1,0,CASA
BRASIL - SÉRIE A,FLUMINENSE,ATLÉTICO GOIANIENSE,1,1,EMPATE
BRASIL - SÉRIE A,GOIÁS,CORINTHIANS,1,2,FORA
BRASIL - SÉRIE A,BOTAFOGO,CORITIBA,0,0,EMPATE
BRASIL - SÉRIE A,EC BAHIA,FLAMENGO,3,5,FORA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,BRAGANTINO,1,1,EMPATE
BRASIL - SÉRIE A,FORTALEZA EC,BRAGANTINO,3,0,CASA
BRASIL - SÉRIE A,SÃO PAULO,CORINTHIANS,2,1,CASA
BRASIL - SÉRIE A,CORITIBA,SPORT RECIFE,1,0,CASA
BRASIL - SÉRIE A,SANTOS,FLAMENGO,0,1,FORA
BRASIL - SÉRIE A,ATLÉTICO GOIANIENSE,CEARÁ,0,2,FORA
BRASIL - SÉRIE A,BOTAFOGO,INTERNACIONAL,0,2,FORA
BRASIL - SÉRIE A,EC BAHIA,PALMEIRAS,1,1,EMPATE
BRASIL - SÉRIE A,FLUMINENSE,VASCO DA GAMA,2,1,CASA
BRASIL - SÉRIE A,CORINTHIANS,FORTALEZA EC,1,1,EMPATE
BRASIL - SÉRIE A,SÃO PAULO,ATLÉTICO PARANAENSE,1,0,CASA
BRASIL - SÉRIE A,GOIÁS,ATLÉTICO GOIANIENSE,2,0,CASA
BRASIL - SÉRIE A,FLAMENGO,BOTAFOGO,1,1,EMPATE
BRASIL - SÉRIE A,VASCO DA GAMA,GRÊMIO,0,0,EMPATE
BRASIL - SÉRIE A,BRAGANTINO,CORITIBA,1,2,FORA
BRASIL - SÉRIE A,PALMEIRAS,SANTOS,2,1,CASA
BRASIL - SÉRIE A,SPORT RECIFE,SÃO PAULO,0,1,FORA
BRASIL - SÉRIE A,CEARÁ,EC BAHIA,2,0,CASA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,FLUMINENSE,0,1,FORA
BRASIL - SÉRIE A,INTERNACIONAL,ATLÉTICO MINEIRO,1,0,CASA
