"CONFRONTO_CASA","CONFRONTO_FORA","posse_casa","posse_fora","ataques_casa","ataques_fora","ataques_perigosos_casa","ataques_perigosos_fora","ResultFT"
Vitória,Ceará,"47","53","50","61","39","48",CASA
Palmeiras,Bahia,"54","46","58","41","41","26",CASA
Flamengo,Vasco da Gama,"58","42","62","48","37","27",EMPATE
Atlético Mineiro,Cruzeiro,"60","40","56","45","44","28",CASA
Botafogo,Fluminense,"39","61","52","62","38","48",CASA
Ceará,América Mineiro,"60","40","71","44","49","24",EMPATE
Santos,Paraná,"55","45","76","70","41","44",CASA
Athletico PR,Atlético Mineiro,"60","40","56","51","32","37",FORA
Chapecoense,Flamengo,"45","55","64","79","21","32",CASA
Bahia,São Paulo,"46","54","54","56","33","38",EMPATE
Vasco da Gama,Vitória,"65","35","56","45","42","23",FORA
Corinthians,Palmeiras,"51","49","37","49","25","29",CASA
Cruzeiro,Sport Recife,"59","41","55","38","37","26",CASA
Grêmio,Internacional,"71","29","80","46","62","29",EMPATE
Chapecoense,Paraná,"45","55","65","79","36","49",EMPATE
Sport Recife,Bahia,"48","52","49","43","33","24",CASA
Grêmio,Santos,"62","38","70","34","55","24",CASA
Cruzeiro,Botafogo,"53","47","50","46","37","22",CASA
Athletico PR,Palmeiras,"56","44","63","66","44","35",FORA
Vitória,Fluminense,"38","62","41","47","28","39",FORA
Flamengo,Internacional,"56","44","55","41","37","28",CASA
Corinthians,Ceará,"61","39","94","61","52","28",EMPATE
Vasco da Gama,América Mineiro,"61","39","63","47","43","26",CASA
São Paulo,Atlético Mineiro,"45","55","61","59","44","41",EMPATE
América Mineiro,Vitória,"41","59","61","61","40","49",CASA
Internacional,Cruzeiro,"63","37","68","62","54","35",EMPATE
Atlético Mineiro,Corinthians,"57","43","70","48","52","26",CASA
Paraná,Sport Recife,"67","33","66","61","45","26",FORA
Bahia,Athletico PR,"43","57","47","49","38","28",EMPATE
Fluminense,São Paulo,"57","43","56","45","32","32",EMPATE
Ceará,Flamengo,"45","55","41","48","30","39",FORA
Palmeiras,Chapecoense,"72","28","64","31","44","17",EMPATE
Botafogo,Grêmio,"58","42","59","56","43","41",CASA
Sport Recife,Botafogo,"54","46","64","50","38","30",EMPATE
Grêmio,Athletico PR,"54","46","76","57","66","41",EMPATE
Atlético Mineiro,Vitória,"59","41","60","53","45","33",CASA
Chapecoense,Vasco da Gama,"42","58","68","76","23","39",EMPATE
Fluminense,Cruzeiro,"36","64","47","65","23","50",CASA
Ceará,São Paulo,"55","45","70","65","47","37",EMPATE
Palmeiras,Internacional,"45","55","73","72","49","48",CASA
Paraná,Corinthians,"57","43","68","64","40","26",FORA
Flamengo,América Mineiro,"52","48","42","49","27","33",CASA
Bahia,Santos,"50","50","64","43","38","23",CASA
Botafogo,Palmeiras,"48","52","58","67","43","53",EMPATE
São Paulo,Paraná,"55","45","101","75","58","29",CASA
Athletico PR,Chapecoense,"64","36","52","48","39","31",CASA
Vasco da Gama,Atlético Mineiro,"67","33","56","36","39","22",CASA
Corinthians,Fluminense,"62","38","54","49","34","33",CASA
Internacional,Bahia,"44","56","59","70","39","49",CASA
América Mineiro,Sport Recife,"39","61","53","56","22","33",CASA
Santos,Ceará,"52","48","69","53","53","36",CASA
Vitória,Flamengo,"63","37","48","38","41","30",EMPATE
Cruzeiro,Grêmio,"42","58","54","57","44","30",FORA
