"CONFRONTO_CASA","CONFRONTO_FORA","posse_dif_casa","posse_dif_fora","ataques_dif_casa","ataques_dif_fora","ataques_perigosos_dif_casa","ataques_perigosos_dif_fora","chutes_livres_dif_casa","chutes_livres_dif_fora","conjunto_de_peças_dif_casa","conjunto_de_peças_dif_fora","penaltis_dif_casa","penaltis_dif_fora","tiros_fora_do_alvo_dif_casa","tiros_fora_do_alvo_dif_fora","chaves_dif_casa","chaves_dif_fora","cantos_dif_casa","cantos_dif_fora","faltas_dif_casa","faltas_dif_fora","ResultFT"
Fortaleza,Fluminense,0,4,0,10,0,8,4,0,4,0,6,0,2,0,0,4,1,0,0,3,FORA
Corinthians,Ceará,10,0,1,0,6,0,1,0,0,1,0,2,2,0,6,0,0,3,0,3,EMPATE
Vasco da Gama,Bahia,14,0,10,0,20,0,3,0,0,16,2,0,11,0,10,0,1,0,0,4,FORA
Fluminense,Avaí,10,0,2,0,14,0,2,0,0,5,11,0,1,0,0,11,10,0,0,3,FORA
Cruzeiro,Vasco da Gama,4,0,8,0,0,5,1,0,0,2,1,0,2,0,0,8,0,8,0,2,CASA
Corinthians,Atlético Mineiro,4,0,0,10,0,7,6,0,0,3,0,1,3,0,8,0,6,0,0,6,CASA
Fortaleza,Goiás,0,2,0,18,3,0,0,1,0,0,1,0,0,2,0,11,2,0,4,0,CASA
Flamengo,Palmeiras,28,0,25,0,16,0,4,0,0,0,1,0,4,0,7,0,0,0,0,0,CASA
Internacional,Botafogo,4,0,12,0,2,0,0,3,0,1,1,0,0,0,1,0,7,0,3,0,CASA
Chapecoense,Santos,2,0,29,0,14,0,4,0,2,0,1,0,0,3,0,4,0,0,0,3,FORA
Athletico PR,Ceará,28,0,25,0,18,0,2,0,0,2,0,2,2,0,9,0,6,0,0,1,CASA
Bahia,CSA,30,0,35,0,25,0,2,0,0,5,3,0,1,0,15,0,7,0,0,2,CASA
São Paulo,Grêmio,14,0,7,0,28,0,0,1,0,13,1,0,5,0,2,0,0,0,1,0,EMPATE
Botafogo,Chapecoense,22,0,28,0,19,0,4,0,0,10,0,4,5,0,8,0,1,0,0,2,EMPATE
Ceará,Flamengo,4,0,0,0,22,0,2,0,0,3,3,0,1,0,0,3,7,0,0,3,FORA
Avaí,Corinthians,0,6,15,0,12,0,0,6,0,8,0,2,3,0,0,7,2,0,6,0,EMPATE
CSA,Cruzeiro,8,0,29,0,19,0,0,5,0,4,1,0,1,0,0,0,2,0,3,0,EMPATE
Santos,Fortaleza,16,0,29,0,12,0,5,0,0,7,5,0,3,0,3,0,0,2,0,6,EMPATE
Goiás,Internacional,0,26,0,13,0,15,9,0,1,0,0,3,0,0,9,0,0,0,0,6,CASA
Grêmio,Athletico PR,0,2,5,0,0,4,0,2,6,0,1,0,0,3,0,2,0,5,0,1,CASA
Atlético Mineiro,Bahia,20,0,2,0,27,0,0,2,0,8,3,0,6,0,2,0,3,0,1,0,FORA
Athletico PR,São Paulo,22,0,14,0,26,0,0,6,0,14,2,0,6,0,5,0,5,0,9,0,FORA
Chapecoense,Avaí,0,8,0,3,0,0,0,11,1,0,0,0,2,0,8,0,2,0,10,0,CASA
