"CONFRONTO_CASA","CONFRONTO_FORA","posse_dif_casa","posse_dif_fora","ataques_dif_casa","ataques_dif_fora","ataques_perigosos_dif_casa","ataques_perigosos_dif_fora","chutes_livres_dif_casa","chutes_livres_dif_fora","conjunto_de_peças_dif_casa","conjunto_de_peças_dif_fora","penaltis_dif_casa","penaltis_dif_fora","tiros_fora_do_alvo_dif_casa","tiros_fora_do_alvo_dif_fora","chaves_dif_casa","chaves_dif_fora","cantos_dif_casa","cantos_dif_fora","faltas_dif_casa","faltas_dif_fora","ResultFT"
Grêmio,Vitória,4,0,10,0,14,0,0,1,1,0,0,1,0,1,1,0,0,0,0,2,CASA
Chapecoense,Corinthians,0,10,0,7,1,0,2,0,0,5,0,1,3,0,5,0,2,0,0,1,CASA
Flamengo,Cruzeiro,6,0,3,0,5,0,0,8,0,4,0,0,0,0,0,10,3,0,7,0,CASA
Sport Recife,São Paulo,0,4,3,0,4,0,9,0,0,1,2,0,1,0,0,3,0,1,0,6,FORA
Atlético Mineiro,Santos,0,16,0,0,5,0,0,9,0,2,0,1,2,0,0,0,0,1,9,0,CASA
Paraná,Botafogo,2,0,17,0,22,0,1,0,0,11,0,3,5,0,4,0,0,0,0,1,EMPATE
Bahia,América Mineiro,10,0,4,0,12,0,1,0,1,0,3,0,4,0,0,4,7,0,0,2,CASA
Ceará,Athletico PR,0,2,0,0,8,0,0,0,4,0,3,0,0,2,9,0,0,6,0,2,EMPATE
Ceará,Santos,4,0,1,0,11,0,3,0,0,7,6,0,8,0,2,0,5,0,0,2,EMPATE
Atlético Mineiro,Internacional,14,0,12,0,10,0,2,0,0,7,0,0,3,0,0,1,4,0,0,1,FORA
Fluminense,Bahia,0,0,0,12,0,3,6,0,5,0,1,0,0,2,4,0,0,2,0,7,EMPATE
Sport Recife,Chapecoense,28,0,13,0,23,0,7,0,0,8,1,0,8,0,17,0,3,0,0,6,EMPATE
Paraná,Ceará,32,0,6,0,16,0,12,0,0,8,9,0,8,0,13,0,11,0,0,8,FORA
América Mineiro,Palmeiras,2,0,0,6,0,13,3,0,9,0,0,1,0,1,0,3,0,7,0,3,EMPATE
Vitória,Cruzeiro,12,0,7,0,0,0,1,0,0,4,2,0,1,0,0,3,0,0,0,2,EMPATE
São Paulo,Vasco da Gama,0,4,0,6,8,0,0,16,0,0,0,0,1,0,5,0,3,0,18,0,CASA
Corinthians,Athletico PR,6,0,5,0,0,1,12,0,2,0,0,2,2,0,0,10,0,7,0,7,EMPATE
Grêmio,Flamengo,0,22,0,15,0,5,0,4,0,0,0,0,0,0,2,0,2,0,5,0,CASA
Botafogo,Santos,2,0,5,0,14,0,10,0,0,6,0,1,7,0,0,4,3,0,0,7,EMPATE
Bahia,Atlético Mineiro,22,0,23,0,22,0,6,0,0,7,6,0,5,0,28,0,3,0,0,5,EMPATE
Chapecoense,Grêmio,0,0,20,0,11,0,3,0,0,10,0,0,7,0,12,0,7,0,0,2,EMPATE
Santos,América Mineiro,0,0,51,0,41,0,5,0,0,18,4,0,15,0,7,0,12,0,0,6,FORA
Cruzeiro,São Paulo,0,0,16,0,28,0,0,2,0,6,3,0,6,0,13,0,2,0,1,0,FORA
Athletico PR,Vitória,0,0,23,0,9,0,0,3,4,0,0,0,0,0,9,0,5,0,5,0,CASA
Flamengo,Sport Recife,0,0,18,0,15,0,0,1,0,4,2,0,7,0,0,19,6,0,1,0,CASA
Internacional,Botafogo,0,0,0,3,2,0,1,0,3,0,3,0,0,0,7,0,1,0,0,1,CASA
Vasco da Gama,Corinthians,0,0,7,0,11,0,0,4,0,3,2,0,7,0,0,10,3,0,7,0,FORA
Palmeiras,Paraná,0,0,18,0,29,0,0,5,0,6,6,0,3,0,1,0,4,0,5,0,CASA
Ceará,Fluminense,0,0,1,0,9,0,0,12,0,1,1,0,0,2,6,0,6,0,10,0,CASA
América Mineiro,Internacional,0,0,0,13,0,23,0,0,10,0,0,3,0,3,2,0,0,8,2,0,CASA
Vitória,Sport Recife,0,0,0,1,3,0,0,3,3,0,1,0,2,0,3,0,0,2,3,0,CASA
Botafogo,Chapecoense,0,0,1,0,6,0,0,4,2,0,3,0,0,2,0,0,0,2,4,0,CASA
Grêmio,São Paulo,0,0,15,0,18,0,0,6,0,3,0,1,4,0,0,1,6,0,3,0,CASA
Santos,Flamengo,0,0,7,0,2,0,0,4,0,2,0,3,1,0,0,4,2,0,4,0,EMPATE
Corinthians,Cruzeiro,0,0,0,17,0,11,4,0,0,0,0,3,0,1,0,3,0,1,0,1,CASA
Atlético Mineiro,Paraná,0,0,2,0,0,4,0,0,4,0,0,6,0,5,0,7,0,2,0,0,CASA
Fluminense,Palmeiras,0,0,0,5,0,6,0,3,6,0,0,2,0,1,1,0,0,1,2,0,CASA
Internacional,Ceará,0,0,24,0,28,0,2,0,0,4,0,2,0,1,10,0,4,0,0,2,CASA
Cruzeiro,Athletico PR,0,0,19,0,14,0,7,0,0,2,5,0,3,0,3,0,6,0,0,8,CASA
Chapecoense,Santos,0,0,14,0,23,0,4,0,0,3,1,0,1,0,6,0,12,0,0,2,EMPATE
Paraná,América Mineiro,0,0,7,0,2,0,0,16,0,1,4,0,0,3,3,0,0,0,13,0,CASA
Bahia,Vitória,0,0,12,0,5,0,5,0,0,4,0,1,1,0,5,0,0,2,0,7,CASA
Vasco da Gama,Grêmio,0,0,0,25,0,20,7,0,7,0,0,4,0,4,0,3,0,2,0,5,CASA
Sport Recife,Fluminense,0,0,16,0,9,0,5,0,0,7,1,0,2,0,14,0,7,0,0,6,FORA
Palmeiras,Atlético Mineiro,0,0,0,0,4,0,0,3,0,4,0,4,1,0,2,0,0,5,3,0,CASA
São Paulo,Corinthians,0,0,19,0,5,0,11,0,0,0,3,0,0,1,3,0,3,0,0,12,CASA
Flamengo,Botafogo,0,0,0,8,0,13,1,0,4,0,0,2,0,8,0,7,0,5,0,0,CASA
Athletico PR,Internacional,0,0,0,1,10,0,4,0,0,8,4,0,2,0,0,9,0,2,0,5,EMPATE
Vasco da Gama,Fluminense,0,0,10,0,3,0,3,0,0,6,0,5,8,0,0,3,0,2,0,3,EMPATE
Santos,Palmeiras,0,0,2,0,9,0,0,1,0,9,0,1,6,0,5,0,6,0,0,0,EMPATE
Cruzeiro,América Mineiro,0,0,11,0,20,0,0,5,4,0,2,0,0,0,4,0,0,2,4,0,CASA
Chapecoense,Bahia,0,0,2,0,0,4,5,0,1,0,0,2,0,4,0,8,2,0,0,5,EMPATE
Flamengo,São Paulo,0,0,37,0,30,0,6,0,0,0,11,0,0,1,5,0,4,0,0,3,FORA
Corinthians,Botafogo,0,0,0,4,0,17,0,5,4,0,0,9,0,6,0,29,0,7,5,0,CASA
Grêmio,Atlético Mineiro,0,0,24,0,25,0,9,0,0,8,4,0,9,0,1,0,3,0,0,9,CASA
Vitória,Paraná,0,0,9,0,12,0,1,0,0,6,2,0,1,0,5,0,0,0,1,0,CASA
Ceará,Sport Recife,0,0,0,13,0,10,0,2,0,3,0,1,3,0,0,4,1,0,4,0,CASA
Atlético Mineiro,Ceará,26,0,21,0,21,0,1,0,0,9,2,0,6,0,11,0,3,0,0,0,CASA
Bahia,Corinthians,0,4,3,0,6,0,0,7,0,2,10,0,0,1,0,1,0,1,8,0,CASA
Internacional,Vasco da Gama,8,0,24,0,20,0,0,4,0,5,0,1,3,0,10,0,0,3,1,0,CASA
Botafogo,Athletico PR,0,12,1,0,2,0,0,2,0,0,2,0,0,0,0,2,0,1,2,0,CASA
Palmeiras,Flamengo,6,0,6,0,0,3,0,3,0,5,0,3,4,0,10,0,0,2,4,0,EMPATE
Paraná,Cruzeiro,0,14,0,9,0,15,4,0,6,0,0,1,0,0,0,0,0,1,0,2,EMPATE
Sport Recife,Grêmio,2,0,18,0,11,0,2,0,0,3,0,2,2,0,0,0,2,0,1,0,EMPATE
Fluminense,Santos,2,0,0,3,0,1,0,2,4,0,0,0,2,0,0,4,0,5,4,0,FORA
América Mineiro,Chapecoense,4,0,2,0,0,2,1,0,0,0,1,0,0,1,10,0,0,5,0,4,EMPATE
São Paulo,Vitória,14,0,5,0,13,0,0,12,0,4,0,3,7,0,0,3,5,0,8,0,CASA
Flamengo,Paraná,14,0,5,0,7,0,0,1,1,0,3,0,0,3,8,0,4,0,1,0,CASA
Santos,Internacional,16,0,12,0,5,0,10,0,0,1,2,0,0,3,15,0,5,0,0,10,FORA
Atlético Mineiro,Fluminense,0,4,0,1,8,0,0,8,7,0,2,0,0,3,2,0,0,3,4,0,CASA
Bahia,Botafogo,26,0,28,0,29,0,0,19,0,4,5,0,0,1,5,0,12,0,16,0,EMPATE
Ceará,Palmeiras,0,12,0,15,2,0,0,1,0,0,3,0,3,0,2,0,0,0,2,0,EMPATE
Grêmio,América Mineiro,22,0,12,0,11,0,0,3,1,0,1,0,0,3,0,12,3,0,3,0,CASA
Corinthians,Vitória,18,0,11,0,7,0,1,0,2,0,0,2,0,0,17,0,4,0,0,4,EMPATE
Chapecoense,Cruzeiro,0,6,0,3,0,3,0,4,0,1,2,0,0,2,16,0,0,3,5,0,CASA
Vasco da Gama,Sport Recife,0,18,0,21,0,4,0,16,5,0,2,0,1,0,0,1,0,1,19,0,CASA
Athletico PR,São Paulo,12,0,0,0,5,0,6,0,2,0,4,0,0,2,7,0,2,0,0,4,FORA
América Mineiro,Atlético Mineiro,6,0,9,0,23,0,0,8,0,5,0,0,3,0,8,0,5,0,6,0,FORA
Paraná,Bahia,0,8,0,3,0,16,2,0,0,4,0,4,3,0,3,0,0,3,0,2,CASA
Fluminense,Flamengo,2,0,9,0,11,0,0,5,0,3,0,2,3,0,0,2,3,0,6,0,FORA
Cruzeiro,Vasco da Gama,32,0,17,0,26,0,7,0,0,9,4,0,11,0,0,0,11,0,0,6,EMPATE
Grêmio,Palmeiras,0,2,0,4,3,0,19,0,0,4,8,0,1,0,0,10,0,2,0,18,FORA
Sport Recife,Athletico PR,0,28,0,17,0,15,10,0,0,7,0,2,6,0,0,6,0,5,0,6,CASA
Corinthians,Santos,0,6,2,0,5,0,4,0,6,0,0,1,0,2,0,4,0,3,0,4,EMPATE
Vitória,Chapecoense,0,0,0,0,3,0,0,6,0,0,3,0,0,0,0,7,0,2,4,0,CASA
Botafogo,Ceará,14,0,7,0,7,0,0,0,0,6,1,0,3,0,5,0,0,0,0,0,EMPATE
São Paulo,Internacional,8,0,10,0,17,0,0,21,0,0,0,0,0,3,10,0,3,0,21,0,EMPATE
Paraná,Fluminense,0,8,0,5,0,9,2,0,0,2,0,1,1,0,0,2,0,3,0,1,CASA
América Mineiro,Athletico PR,0,8,0,1,0,0,9,0,1,0,4,0,3,0,0,0,4,0,0,5,CASA
Bahia,Grêmio,18,0,17,0,15,0,3,0,0,5,0,0,6,0,10,0,4,0,1,0,FORA
Flamengo,Corinthians,6,0,18,0,2,0,2,0,0,2,1,0,3,0,2,0,1,0,0,2,CASA
Santos,Vitória,4,0,21,0,17,0,0,0,0,8,3,0,2,0,0,5,0,3,0,5,CASA
Palmeiras,São Paulo,2,0,4,0,8,0,0,0,7,0,0,2,0,3,0,11,0,4,0,3,CASA
Vasco da Gama,Botafogo,30,0,33,0,29,0,3,0,0,13,0,0,4,0,7,0,0,3,0,3,FORA
Atlético Mineiro,Chapecoense,22,0,12,0,22,0,10,0,0,11,3,0,10,0,2,0,3,0,0,1,EMPATE
Internacional,Sport Recife,18,0,3,0,9,0,1,0,0,10,1,0,3,0,9,0,11,0,0,2,EMPATE
Athletico PR,Santos,0,8,0,2,0,15,0,10,11,0,2,0,0,7,6,0,0,3,9,0,CASA
Corinthians,América Mineiro,6,0,10,0,18,0,0,1,2,0,0,4,0,1,5,0,0,3,0,0,CASA
Flamengo,Bahia,12,0,0,7,0,3,0,2,0,0,0,4,0,1,0,4,0,1,2,0,CASA
Cruzeiro,Palmeiras,0,8,0,2,8,0,0,10,0,1,0,1,4,0,6,0,0,0,8,0,CASA
Grêmio,Fluminense,30,0,27,0,41,0,0,8,0,10,5,0,8,0,9,0,8,0,8,0,EMPATE
Chapecoense,Ceará,6,0,19,0,21,0,0,2,0,11,0,1,7,0,2,0,7,0,1,0,CASA
São Paulo,Botafogo,0,6,0,10,0,18,0,6,6,0,2,0,0,3,0,9,0,0,6,0,CASA
Vitória,Internacional,0,0,0,1,8,0,0,1,0,8,2,0,7,0,0,12,6,0,0,0,FORA
Vasco da Gama,Paraná,0,6,7,0,13,0,0,2,0,5,1,0,5,0,7,0,2,0,5,0,CASA
Sport Recife,Atlético Mineiro,0,8,3,0,8,0,0,3,0,2,0,2,0,1,0,1,0,2,5,0,CASA
América Mineiro,São Paulo,0,4,4,0,5,0,0,0,0,3,0,0,0,1,0,1,2,0,3,0,FORA
Ceará,Grêmio,0,18,0,27,0,25,0,3,0,3,0,2,4,0,0,4,3,0,2,0,FORA
Bahia,Vasco da Gama,12,0,3,0,3,0,0,5,0,1,3,0,2,0,0,3,2,0,3,0,CASA
Botafogo,Vitória,14,0,4,0,15,0,4,0,0,2,3,0,2,0,3,0,5,0,0,8,EMPATE
Santos,Cruzeiro,2,0,5,0,5,0,1,0,4,0,2,0,0,2,4,0,0,2,0,1,FORA
Internacional,Corinthians,18,0,30,0,27,0,0,5,0,11,6,0,6,0,0,5,10,0,3,0,CASA
Paraná,Athletico PR,0,16,0,4,0,7,6,0,5,0,4,0,2,0,0,4,6,0,0,6,EMPATE
Atlético Mineiro,Flamengo,36,0,20,0,22,0,2,0,0,5,2,0,5,0,21,0,13,0,2,0,FORA
Palmeiras,Sport Recife,24,0,25,0,23,0,0,11,0,11,0,3,3,0,9,0,6,0,7,0,FORA
Fluminense,Chapecoense,0,20,0,11,0,16,0,7,0,0,0,4,0,0,0,12,0,5,7,0,CASA
Internacional,Chapecoense,4,0,5,0,15,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,CASA
Fluminense,Athletico PR,0,26,0,32,0,25,2,0,10,0,1,0,0,4,4,0,0,3,0,3,CASA
Paraná,Grêmio,0,38,0,8,0,23,3,0,0,0,0,1,0,1,3,0,0,8,0,1,EMPATE
América Mineiro,Botafogo,0,12,0,4,3,0,0,5,0,0,1,0,0,1,0,7,3,0,9,0,CASA
São Paulo,Santos,0,14,0,0,6,0,0,8,0,1,0,3,6,0,0,16,2,0,6,0,CASA
Sport Recife,Corinthians,0,8,5,0,11,0,0,3,0,4,3,0,5,0,1,0,0,2,5,0,EMPATE
Vitória,Ceará,0,6,0,11,0,9,5,0,0,0,0,4,2,0,0,6,3,0,0,5,CASA
Palmeiras,Bahia,8,0,17,0,15,0,0,8,0,3,0,2,0,0,0,0,1,0,4,0,CASA
Flamengo,Vasco da Gama,16,0,14,0,10,0,6,0,0,3,0,5,0,2,9,0,0,5,0,9,EMPATE
Atlético Mineiro,Cruzeiro,20,0,11,0,16,0,5,0,0,2,4,0,0,0,0,4,0,3,0,4,CASA
Botafogo,Fluminense,0,22,0,10,0,10,0,1,4,0,0,3,0,6,0,3,0,4,0,0,CASA
Ceará,América Mineiro,20,0,27,0,25,0,2,0,0,8,7,0,5,0,15,0,6,0,0,2,EMPATE
Santos,Paraná,10,0,6,0,0,3,0,1,3,0,0,1,0,6,1,0,1,0,0,2,CASA
Athletico PR,Atlético Mineiro,20,0,5,0,0,5,0,0,4,0,0,5,0,2,0,1,0,4,0,1,FORA
Chapecoense,Flamengo,0,10,0,15,0,11,1,0,2,0,0,3,0,2,0,4,0,4,1,0,CASA
Bahia,São Paulo,0,8,0,2,0,5,0,8,0,2,0,1,0,1,0,9,0,0,7,0,EMPATE
Vasco da Gama,Vitória,30,0,11,0,19,0,1,0,0,4,4,0,5,0,7,0,5,0,0,2,FORA
Corinthians,Palmeiras,2,0,0,12,0,4,7,0,2,0,0,0,2,0,5,0,7,0,0,5,CASA
Cruzeiro,Sport Recife,18,0,17,0,11,0,0,4,0,7,0,3,3,0,0,0,3,0,1,0,CASA
Grêmio,Internacional,42,0,34,0,33,0,11,0,0,9,0,0,10,0,4,0,10,0,0,11,EMPATE
Chapecoense,Paraná,0,10,0,14,0,13,7,0,3,0,0,1,0,3,0,20,2,0,0,6,EMPATE
Sport Recife,Bahia,0,4,6,0,9,0,3,0,0,2,6,0,5,0,0,3,2,0,0,4,CASA
Grêmio,Santos,24,0,36,0,31,0,7,0,0,6,2,0,2,0,0,6,7,0,0,7,CASA
Cruzeiro,Botafogo,6,0,4,0,15,0,0,11,0,3,5,0,5,0,8,0,2,0,6,0,CASA
Athletico PR,Palmeiras,12,0,0,3,9,0,3,0,0,3,2,0,0,4,3,0,0,3,0,5,FORA
Vitória,Fluminense,0,24,0,6,0,11,0,14,6,0,0,2,0,5,0,14,0,6,11,0,FORA
Flamengo,Internacional,12,0,14,0,9,0,2,0,0,2,0,2,2,0,5,0,0,0,0,1,CASA
Corinthians,Ceará,22,0,33,0,24,0,10,0,0,12,1,0,6,0,11,0,10,0,0,9,EMPATE
Vasco da Gama,América Mineiro,22,0,16,0,17,0,5,0,0,4,2,0,4,0,5,0,0,0,0,9,CASA
São Paulo,Atlético Mineiro,0,10,2,0,3,0,0,2,6,0,0,3,0,0,0,2,0,1,3,0,EMPATE
América Mineiro,Vitória,0,18,0,0,0,9,0,0,0,0,4,0,0,1,0,16,1,0,3,0,CASA
Internacional,Cruzeiro,26,0,6,0,19,0,0,5,0,1,8,0,4,0,6,0,14,0,1,0,EMPATE
Atlético Mineiro,Corinthians,14,0,22,0,26,0,0,13,0,6,3,0,4,0,3,0,10,0,11,0,CASA
Paraná,Sport Recife,34,0,5,0,19,0,2,0,0,5,9,0,3,0,17,0,7,0,0,1,FORA
Bahia,Athletico PR,0,14,0,2,10,0,0,12,0,5,6,0,6,0,4,0,6,0,11,0,EMPATE
Fluminense,São Paulo,14,0,11,0,0,0,0,3,2,0,2,0,0,2,0,1,0,1,0,0,EMPATE
Ceará,Flamengo,0,10,0,7,0,9,0,2,2,0,0,6,0,2,1,0,0,3,3,0,FORA
Palmeiras,Chapecoense,44,0,33,0,27,0,0,2,0,8,5,0,3,0,13,0,13,0,3,0,EMPATE
Botafogo,Grêmio,16,0,3,0,2,0,0,0,0,1,4,0,2,0,0,2,6,0,2,0,CASA
Sport Recife,Botafogo,8,0,14,0,8,0,0,1,0,1,10,0,0,2,6,0,3,0,0,1,EMPATE
Grêmio,Athletico PR,8,0,19,0,25,0,4,0,0,6,8,0,7,0,0,3,3,0,0,6,EMPATE
Atlético Mineiro,Vitória,18,0,7,0,12,0,0,8,4,0,0,3,0,3,4,0,1,0,3,0,CASA
Chapecoense,Vasco da Gama,0,16,0,8,0,16,0,5,0,5,0,6,0,0,0,2,0,0,5,0,EMPATE
Fluminense,Cruzeiro,0,28,0,18,0,27,9,0,5,0,0,4,0,5,2,0,0,6,0,6,CASA
Ceará,São Paulo,10,0,5,0,10,0,0,5,1,0,0,0,0,4,14,0,0,0,5,0,EMPATE
Palmeiras,Internacional,0,10,1,0,1,0,3,0,0,6,0,0,4,0,0,5,0,1,0,1,CASA
Paraná,Corinthians,14,0,4,0,14,0,0,1,0,8,8,0,2,0,13,0,3,0,0,0,FORA
Flamengo,América Mineiro,4,0,0,7,0,6,0,0,3,0,0,4,2,0,0,19,0,6,0,1,CASA
Bahia,Santos,0,0,21,0,15,0,0,5,0,2,1,0,2,0,1,0,1,0,6,0,CASA
Botafogo,Palmeiras,0,4,0,9,0,10,16,0,0,4,0,0,5,0,0,4,5,0,0,16,EMPATE
São Paulo,Paraná,10,0,26,0,29,0,0,5,0,2,4,0,0,3,0,3,0,0,4,0,CASA
Athletico PR,Chapecoense,28,0,4,0,8,0,4,0,0,0,4,0,0,1,1,0,0,6,0,6,CASA
Vasco da Gama,Atlético Mineiro,34,0,20,0,17,0,6,0,0,2,1,0,1,0,9,0,6,0,0,7,CASA
Corinthians,Fluminense,24,0,5,0,1,0,1,0,0,2,0,5,0,1,0,4,4,0,0,1,CASA
Internacional,Bahia,0,12,0,11,0,10,3,0,0,2,0,0,1,0,0,9,1,0,0,3,CASA
América Mineiro,Sport Recife,0,22,0,3,0,11,0,1,1,0,0,3,2,0,0,7,0,4,0,0,CASA
Santos,Ceará,4,0,16,0,17,0,0,4,0,9,0,1,9,0,0,0,2,0,3,0,CASA
Vitória,Flamengo,26,0,10,0,11,0,0,14,0,7,0,1,6,0,0,1,0,1,14,0,EMPATE
Cruzeiro,Grêmio,0,16,0,3,14,0,0,3,0,2,5,0,3,0,1,0,3,0,5,0,FORA
